userID,Join Time,Leave Time
user54,2020-09-08 15:40,2020-09-08 15:41
user54,2020-09-08 15:42,2020-09-08 15:42
user52,2020-09-08 15:42,2020-09-08 17:17
user54,2020-09-08 15:42,2020-09-08 15:42
user54,2020-09-08 15:43,2020-09-08 15:44
user46,2020-09-08 15:44,2020-09-08 17:18
user17,2020-09-08 15:44,2020-09-08 17:17
user18,2020-09-08 15:44,2020-09-08 17:17
user54,2020-09-08 15:45,2020-09-08 17:21
user22,2020-09-08 15:46,2020-09-08 17:17
user40,2020-09-08 15:47,2020-09-08 17:17
user14,2020-09-08 15:50,2020-09-08 17:17
user31,2020-09-08 15:51,2020-09-08 17:18
user13,2020-09-08 15:51,2020-09-08 16:02
user53,2020-09-08 15:51,2020-09-08 17:17
user15,2020-09-08 15:53,2020-09-08 17:17
user21,2020-09-08 15:53,2020-09-08 17:17
user29,2020-09-08 15:54,2020-09-08 17:23
user39,2020-09-08 15:54,2020-09-08 17:17
user19,2020-09-08 15:55,2020-09-08 16:49
user36,2020-09-08 15:56,2020-09-08 17:17
user10,2020-09-08 15:56,2020-09-08 17:17
user59,2020-09-08 15:56,2020-09-08 17:17
user4,2020-09-08 15:57,2020-09-08 17:17
user5,2020-09-08 15:57,2020-09-08 16:03
user2,2020-09-08 15:57,2020-09-08 17:17
user51,2020-09-08 15:57,2020-09-08 17:17
user42,2020-09-08 15:57,2020-09-08 17:21
user37,2020-09-08 15:58,2020-09-08 17:22
user47,2020-09-08 15:58,2020-09-08 17:17
user1,2020-09-08 15:58,2020-09-08 17:17
user58,2020-09-08 15:58,2020-09-08 17:17
user32,2020-09-08 15:59,2020-09-08 17:03
user6,2020-09-08 15:59,2020-09-08 17:24
user23,2020-09-08 15:59,2020-09-08 17:17
user11,2020-09-08 16:00,2020-09-08 17:17
user33,2020-09-08 16:01,2020-09-08 17:19
user35,2020-09-08 16:02,2020-09-08 17:17
user20,2020-09-08 16:02,2020-09-08 17:17
user44,2020-09-08 16:02,2020-09-08 16:53
user13,2020-09-08 16:03,2020-09-08 17:17
user28,2020-09-08 16:24,2020-09-08 17:24
user19,2020-09-08 16:49,2020-09-08 16:59
user44,2020-09-08 16:54,2020-09-08 17:17
user19,2020-09-08 16:59,2020-09-08 17:00
user19,2020-09-08 17:00,2020-09-08 17:01
user19,2020-09-08 17:04,2020-09-08 17:04
user19,2020-09-08 17:04,2020-09-08 17:22
user32,2020-09-08 17:08,2020-09-08 17:18
user19,2020-09-08 17:03,2020-09-08 17:04
user20,2020-09-10 14:14,2020-09-10 17:16
user54,2020-09-10 15:29,2020-09-10 17:25
user18,2020-09-10 15:36,2020-09-10 17:16
user9,2020-09-10 15:46,2020-09-10 17:16
user22,2020-09-10 15:46,2020-09-10 17:16
user59,2020-09-10 15:46,2020-09-10 17:17
